ChronicFactKey,LocationKey,YearKey,IndicatorKey,StratificationKey,DataValue,DataValueAlt,LowConfidenceLimit,HighConfidenceLimit
166,25,4,101,5,52.8000,52.8000,36.9000,68.1000
167,17,4,37,5,91.6000,91.6000,80.0000,96.7000
168,29,4,101,5,53.6000,53.6000,37.9000,68.6000
169,26,4,101,5,67.6000,67.6000,52.1000,79.9000
170,54,4,101,5,33.4000,33.4000,20.8000,48.9000
171,47,4,37,5,85.0000,85.0000,55.0000,96.3000
172,32,4,132,5,28.6000,28.6000,15.3000,47.1000
173,42,4,37,5,86.3000,86.3000,72.3000,93.8000
174,11,4,37,5,87.9000,87.9000,78.8000,93.4000
175,4,4,37,5,82.9000,82.9000,73.6000,89.4000
176,47,4,101,5,52.2000,52.2000,31.2000,72.5000
177,43,4,101,5,45.9000,45.9000,31.6000,60.9000
178,46,4,132,5,45.4000,45.4000,31.6000,60.0000
179,23,4,101,5,35.6000,35.6000,18.8000,56.9000
180,3,4,52,5,44.6000,44.6000,26.2000,64.7000
181,53,4,37,5,87.5000,87.5000,73.0000,94.8000
182,53,4,101,5,52.1000,52.1000,38.7000,65.1000
183,1,4,37,5,86.2000,86.2000,64.9000,95.5000
184,48,4,101,5,66.7000,66.7000,50.7000,79.7000
185,9,4,52,5,32.6000,32.6000,16.7000,53.9000
186,6,4,37,5,94.5000,94.5000,86.9000,97.8000
187,49,4,37,5,80.1000,80.1000,57.4000,92.3000
188,41,4,52,5,18.1000,18.1000,10.4000,29.5000
189,38,4,101,5,53.3000,53.3000,41.4000,64.8000
190,35,4,37,5,91.8000,91.8000,75.0000,97.7000
191,27,4,101,5,50.6000,50.6000,35.3000,65.8000
192,55,4,101,5,53.8000,53.8000,34.1000,72.5000
193,37,4,101,5,50.7000,50.7000,32.2000,68.9000
194,36,4,52,5,30.2000,30.2000,17.3000,47.2000
195,11,4,101,5,55.5000,55.5000,41.7000,68.5000
196,38,4,37,5,87.7000,87.7000,76.7000,93.9000
197,34,4,52,5,36.2000,36.2000,28.4000,44.9000
198,32,4,101,5,48.3000,48.3000,37.0000,59.8000
199,53,4,132,5,8.3000,8.3000,3.2000,20.2000
200,41,4,37,5,90.1000,90.1000,80.7000,95.2000
201,14,4,52,5,38.7000,38.7000,25.4000,53.9000
202,35,4,52,5,37.0000,37.0000,22.3000,54.5000
203,44,4,37,5,68.9000,68.9000,47.1000,84.6000
204,37,4,37,5,84.5000,84.5000,67.6000,93.5000
205,46,4,37,5,81.9000,81.9000,73.4000,88.1000
206,14,4,101,5,62.3000,62.3000,47.8000,75.0000
207,3,4,37,5,87.2000,87.2000,70.9000,95.0000
208,40,4,37,5,86.2000,86.2000,74.9000,92.8000
209,31,4,37,5,88.5000,88.5000,77.1000,94.6000
210,34,4,132,5,26.2000,26.2000,17.8000,36.6000
211,9,4,101,5,49.7000,49.7000,32.3000,67.3000
212,51,4,52,5,32.0000,32.0000,16.3000,53.2000
213,10,4,101,5,44.6000,44.6000,30.6000,59.6000
214,7,4,101,5,48.4000,48.4000,32.6000,64.5000
215,45,4,101,5,52.3000,52.3000,42.6000,61.8000
216,26,4,37,5,91.1000,91.1000,80.5000,96.2000
217,40,4,101,5,57.0000,57.0000,44.8000,68.4000
218,5,4,37,5,82.0000,82.0000,65.8000,91.5000
219,6,4,101,5,49.0000,49.0000,31.6000,66.7000
220,45,4,37,5,89.3000,89.3000,82.5000,93.7000
221,43,4,52,5,36.5000,36.5000,21.3000,54.9000
222,42,4,101,5,53.6000,53.6000,35.3000,71.0000
223,20,4,101,5,45.2000,45.2000,30.2000,61.1000
224,39,4,101,5,56.0000,56.0000,37.9000,72.6000
225,13,4,101,5,63.6000,63.6000,49.0000,76.1000
226,28,4,37,5,82.5000,82.5000,69.3000,90.8000
227,16,4,37,5,88.8000,88.8000,75.6000,95.3000
228,51,4,101,5,60.6000,60.6000,42.5000,76.1000
229,4,4,132,5,25.3000,25.3000,14.2000,41.0000
230,53,4,52,5,43.6000,43.6000,29.4000,58.9000
231,1,4,101,5,54.3000,54.3000,37.2000,70.5000
232,47,4,52,3,29.8000,29.8000,22.7000,37.9000
233,32,4,52,3,31.6000,31.6000,25.1000,38.8000
234,28,4,52,3,39.8000,39.8000,32.8000,47.3000
235,33,4,52,3,32.7000,32.7000,25.7000,40.7000
236,4,4,52,3,33.2000,33.2000,26.2000,41.0000
237,37,4,52,3,32.8000,32.8000,26.6000,39.8000
238,51,4,52,3,27.8000,27.8000,22.0000,34.5000
239,40,4,52,3,25.6000,25.6000,19.5000,33.0000
240,7,4,52,3,52.0000,52.0000,45.4000,58.5000
241,24,4,52,3,30.4000,30.4000,23.7000,38.1000
242,39,4,52,3,34.5000,34.5000,27.6000,42.1000
243,46,4,52,3,29.0000,29.0000,22.6000,36.3000
244,31,4,52,3,41.9000,41.9000,35.0000,49.1000
245,49,4,52,3,24.6000,24.6000,19.2000,31.0000
246,48,4,52,3,38.3000,38.3000,31.4000,45.8000
247,27,4,52,3,31.1000,31.1000,25.0000,38.0000
248,42,4,52,3,33.6000,33.6000,26.8000,41.2000
249,20,4,52,3,44.7000,44.7000,38.1000,51.4000
250,11,4,52,3,31.6000,31.6000,25.3000,38.6000
251,35,4,52,3,38.4000,38.4000,32.0000,45.3000
252,2,4,52,3,31.6000,31.6000,25.5000,38.5000
253,8,4,52,3,27.1000,27.1000,20.8000,34.4000
254,41,4,52,3,38.6000,38.6000,31.3000,46.4000
255,52,4,52,3,33.5000,33.5000,26.2000,41.7000
256,9,4,52,3,27.2000,27.2000,20.6000,35.0000
257,45,4,52,3,36.6000,36.6000,30.0000,43.7000
258,29,4,52,3,31.4000,31.4000,23.9000,40.1000
259,3,4,52,3,34.3000,34.3000,27.4000,42.0000
260,23,4,52,3,51.6000,51.6000,44.6000,58.6000
261,18,4,52,3,28.0000,28.0000,22.1000,34.9000
262,16,4,52,3,45.5000,45.5000,38.5000,52.7000
263,12,4,52,3,34.6000,34.6000,33.1000,36.2000
264,22,4,52,3,36.4000,36.4000,29.3000,44.3000
265,25,4,52,3,25.5000,25.5000,19.7000,32.3000
266,55,4,52,3,43.9000,43.9000,36.6000,51.5000
267,30,4,52,3,41.5000,41.5000,34.3000,49.0000
268,14,4,52,3,30.4000,30.4000,23.9000,37.7000
269,50,4,52,3,32.0000,32.0000,25.1000,39.9000
270,5,4,52,3,33.0000,33.0000,25.9000,41.0000
271,36,4,52,3,39.2000,39.2000,32.0000,47.0000
272,10,4,52,3,27.7000,27.7000,21.4000,35.0000
273,43,4,52,3,30.6000,30.6000,23.9000,38.2000
274,8,4,37,11,77.4000,77.4000,71.8000,82.2000
275,48,4,101,11,48.6000,48.6000,43.2000,54.0000
276,49,4,101,11,60.8000,60.8000,55.6000,65.7000
277,6,4,101,11,49.8000,49.8000,44.6000,54.9000
278,14,4,101,11,59.4000,59.4000,54.0000,64.6000
279,2,4,37,11,83.4000,83.4000,78.5000,87.4000
280,5,4,52,11,26.1000,26.1000,20.9000,32.1000
281,1,4,37,11,77.4000,77.4000,71.9000,82.1000
282,17,4,101,11,58.5000,58.5000,53.5000,63.3000
283,30,4,132,11,29.3000,29.3000,22.7000,36.9000
284,3,4,101,11,46.7000,46.7000,41.4000,52.1000
285,31,4,132,11,31.9000,31.9000,24.8000,39.9000
286,5,4,132,11,33.9000,33.9000,26.7000,41.9000
287,45,4,132,11,30.0000,30.0000,23.6000,37.3000
288,18,4,101,11,57.6000,57.6000,52.2000,62.7000
289,47,4,52,11,31.6000,31.6000,25.7000,38.2000
290,41,4,132,11,18.0000,18.0000,13.0000,24.4000
291,12,4,101,11,47.6000,47.6000,46.3000,48.8000
292,36,4,37,11,82.5000,82.5000,77.5000,86.6000
293,45,4,37,11,79.8000,79.8000,75.4000,83.5000
294,40,4,101,11,42.8000,42.8000,37.1000,48.6000
295,24,4,132,11,33.9000,33.9000,26.9000,41.8000
296,4,4,37,11,87.8000,87.8000,83.2000,91.2000
297,30,4,101,11,41.4000,41.4000,36.3000,46.7000
298,52,4,37,11,84.5000,84.5000,80.0000,88.1000
299,25,4,132,11,39.2000,39.2000,31.3000,47.6000
300,2,4,101,11,44.8000,44.8000,39.4000,50.3000
301,47,4,101,11,49.2000,49.2000,43.8000,54.7000
302,20,4,132,11,28.3000,28.3000,21.6000,36.2000
303,31,4,101,11,40.8000,40.8000,35.8000,45.9000
304,53,4,132,11,28.6000,28.6000,21.9000,36.3000
305,25,4,101,11,53.4000,53.4000,47.8000,58.9000
306,26,4,132,11,35.7000,35.7000,28.5000,43.7000
307,20,4,101,11,39.6000,39.6000,34.6000,44.7000
308,10,4,52,11,27.3000,27.3000,22.0000,33.4000
309,51,4,101,11,54.2000,54.2000,48.8000,59.5000
310,18,4,37,11,90.9000,90.9000,87.4000,93.4000
311,12,4,37,11,81.6000,81.6000,80.6000,82.6000
312,2,4,52,11,38.6000,38.6000,32.8000,44.7000
313,38,4,101,11,46.1000,46.1000,40.6000,51.7000
314,29,4,101,11,53.8000,53.8000,48.0000,59.5000
315,16,4,132,11,37.6000,37.6000,30.1000,45.7000
316,33,4,37,11,83.9000,83.9000,77.8000,88.6000
317,11,4,52,11,41.4000,41.4000,35.4000,47.7000
318,14,4,132,11,39.9000,39.9000,32.7000,47.6000
319,44,4,37,11,81.1000,81.1000,76.2000,85.1000
320,47,4,132,11,28.2000,28.2000,21.8000,35.5000
321,48,4,52,11,37.2000,37.2000,31.5000,43.2000
322,48,4,37,11,78.4000,78.4000,73.1000,82.9000
323,22,4,52,11,30.2000,30.2000,24.5000,36.6000
324,45,4,101,11,43.6000,43.6000,38.6000,48.6000
325,40,4,52,11,26.3000,26.3000,20.9000,32.5000
326,16,4,101,11,50.0000,50.0000,44.7000,55.3000
327,32,4,101,11,40.5000,40.5000,35.2000,46.1000
328,5,4,37,11,85.3000,85.3000,80.6000,89.0000
329,3,4,37,11,80.3000,80.3000,75.2000,84.6000
330,52,4,52,11,27.8000,27.8000,22.2000,34.2000
331,55,4,52,11,42.7000,42.7000,36.9000,48.8000
332,50,4,132,11,29.7000,29.7000,23.0000,37.5000
333,44,4,101,11,47.8000,47.8000,42.6000,53.0000
334,46,4,37,11,82.0000,82.0000,77.0000,86.1000
335,27,4,37,11,79.0000,79.0000,74.4000,83.0000
336,42,4,37,11,84.3000,84.3000,78.9000,88.5000
337,13,4,132,11,35.9000,35.9000,28.1000,44.5000
338,9,4,37,11,83.9000,83.9000,78.6000,88.1000
339,35,4,101,11,47.7000,47.7000,42.7000,52.8000
340,34,4,132,11,16.8000,16.8000,11.6000,23.8000
341,23,4,37,11,77.3000,77.3000,72.2000,81.7000
342,6,4,132,11,25.4000,25.4000,19.9000,31.7000
343,6,4,37,11,78.0000,78.0000,73.0000,82.3000
344,28,4,132,11,29.0000,29.0000,22.2000,37.0000
345,9,4,132,11,27.9000,27.9000,21.2000,35.8000
346,17,4,37,11,83.8000,83.8000,79.7000,87.2000
347,8,4,101,11,49.0000,49.0000,43.6000,54.5000
348,23,4,101,11,37.1000,37.1000,32.3000,42.2000
349,35,4,52,11,41.6000,41.6000,36.3000,47.1000
350,6,4,52,11,35.1000,35.1000,29.7000,40.8000
351,29,4,132,11,30.1000,30.1000,22.6000,38.9000
352,17,4,52,11,27.3000,27.3000,22.2000,33.1000
353,43,4,52,11,34.2000,34.2000,28.3000,40.6000
354,51,4,132,11,36.4000,36.4000,29.0000,44.6000
355,32,4,132,11,17.2000,17.2000,12.0000,24.1000
356,47,4,101,9,31.0000,31.0000,19.5000,45.5000
357,2,4,52,9,37.0000,37.0000,31.4000,43.0000
358,35,4,52,9,37.3000,37.3000,18.6000,60.8000
359,40,4,132,9,28.1000,28.1000,20.1000,37.8000
360,46,4,37,9,83.5000,83.5000,70.1000,91.6000
361,55,4,52,9,36.0000,36.0000,19.9000,56.0000
362,3,4,37,9,78.8000,78.8000,60.0000,90.2000
363,44,4,37,9,80.7000,80.7000,60.1000,92.1000
364,10,4,132,9,22.8000,22.8000,10.7000,42.1000
365,48,4,132,9,25.6000,25.6000,13.6000,42.9000
366,44,4,132,9,16.9000,16.9000,6.1000,38.9000
367,39,4,52,9,42.8000,42.8000,32.0000,54.4000
368,35,4,37,9,79.3000,79.3000,61.7000,90.2000
369,5,4,37,9,87.1000,87.1000,58.4000,97.0000
370,6,4,132,9,36.6000,36.6000,21.6000,54.8000
371,11,4,101,9,48.4000,48.4000,36.4000,60.6000
372,45,4,101,9,35.4000,35.4000,26.2000,45.9000
373,46,4,132,9,45.1000,45.1000,27.0000,64.6000
374,18,4,52,9,42.1000,42.1000,30.2000,55.0000
375,22,4,52,9,44.6000,44.6000,32.1000,57.8000
376,33,4,37,9,93.3000,93.3000,85.7000,97.0000
377,26,4,37,9,81.9000,81.9000,62.9000,92.3000
378,40,4,52,9,33.1000,33.1000,26.4000,40.6000
379,14,4,52,9,29.5000,29.5000,15.1000,49.7000
380,1,4,52,9,42.1000,42.1000,35.1000,49.5000
381,29,4,132,9,22.4000,22.4000,11.8000,38.2000
382,17,4,52,9,40.1000,40.1000,29.1000,52.2000
383,4,4,101,9,48.8000,48.8000,37.5000,60.2000
384,9,4,37,9,82.2000,82.2000,72.3000,89.0000
385,50,4,52,9,38.2000,38.2000,28.3000,49.1000
386,29,4,52,9,37.9000,37.9000,27.4000,49.5000
387,20,4,52,9,41.2000,41.2000,29.3000,54.3000
388,51,4,52,9,25.0000,25.0000,12.2000,44.5000
389,26,4,52,9,49.7000,49.7000,31.3000,68.2000
390,13,4,37,9,82.1000,82.1000,74.0000,88.1000
391,10,4,52,9,45.1000,45.1000,31.4000,59.6000
392,36,4,101,9,49.7000,49.7000,37.0000,62.3000
393,6,4,52,9,39.6000,39.6000,26.5000,54.4000
394,48,4,37,9,76.3000,76.3000,64.3000,85.2000
395,4,4,37,9,90.9000,90.9000,81.5000,95.8000
396,12,4,101,9,41.6000,41.6000,39.2000,44.0000
397,53,4,37,9,87.5000,87.5000,78.2000,93.1000
398,38,4,101,9,47.8000,47.8000,35.1000,60.8000
399,37,4,132,9,50.0000,50.0000,30.5000,69.4000
400,40,4,101,9,40.7000,40.7000,34.2000,47.4000
401,30,4,52,9,38.4000,38.4000,30.7000,46.8000
402,41,4,101,9,40.6000,40.6000,34.1000,47.5000
403,54,4,101,9,45.3000,45.3000,31.1000,60.3000
404,1,4,132,9,14.9000,14.9000,9.7000,22.2000
405,14,4,37,9,88.8000,88.8000,71.9000,96.1000
406,50,4,37,9,88.1000,88.1000,81.9000,92.4000
407,54,4,132,9,18.4000,18.4000,6.8000,41.1000
408,43,4,101,9,52.1000,52.1000,39.9000,64.0000
409,23,4,101,9,37.8000,37.8000,22.4000,56.2000
410,55,4,101,9,23.9000,23.9000,12.5000,40.9000
411,44,4,52,9,50.2000,50.2000,32.1000,68.2000
412,36,4,37,9,80.1000,80.1000,67.6000,88.6000
413,50,4,101,9,41.2000,41.2000,32.3000,50.8000
414,22,4,132,9,18.8000,18.8000,9.6000,33.6000
415,6,4,37,9,79.2000,79.2000,65.5000,88.5000
416,33,4,52,9,32.5000,32.5000,21.4000,45.9000
417,1,4,101,9,43.3000,43.3000,37.0000,49.9000
418,18,4,101,9,39.6000,39.6000,29.6000,50.5000
419,8,4,37,9,79.0000,79.0000,55.8000,91.9000
420,42,4,52,9,58.0000,58.0000,42.1000,72.4000
421,44,4,101,9,38.9000,38.9000,23.2000,57.3000
422,47,4,52,9,36.3000,36.3000,22.1000,53.3000
423,16,4,37,9,59.2000,59.2000,31.6000,82.0000
424,46,4,101,9,47.0000,47.0000,33.0000,61.4000
425,33,4,132,9,15.7000,15.7000,5.6000,36.9000
426,45,4,37,9,80.0000,80.0000,69.1000,87.8000
427,23,4,37,9,85.5000,85.5000,69.4000,93.9000
428,49,4,101,9,50.4000,50.4000,34.3000,66.5000
429,27,4,37,9,81.6000,81.6000,63.3000,91.9000
430,24,4,132,9,38.6000,38.6000,22.2000,58.1000
431,51,4,37,9,76.4000,76.4000,58.7000,88.0000
432,17,4,37,9,88.2000,88.2000,79.8000,93.4000
433,32,4,132,9,13.8000,13.8000,8.0000,22.6000
434,17,4,101,9,60.7000,60.7000,50.1000,70.4000
435,24,4,37,9,92.1000,92.1000,80.5000,97.0000
436,31,4,101,9,36.9000,36.9000,24.6000,51.3000
437,34,4,37,9,89.9000,89.9000,79.9000,95.3000
438,20,4,101,9,37.1000,37.1000,26.6000,49.1000
439,39,4,101,9,45.7000,45.7000,35.9000,55.7000
440,12,4,37,9,81.9000,81.9000,79.9000,83.8000
441,27,4,101,9,46.5000,46.5000,30.6000,63.1000
442,43,4,52,9,46.2000,46.2000,34.0000,58.9000
443,3,4,101,9,49.2000,49.2000,31.3000,67.2000
444,7,4,52,9,38.5000,38.5000,23.9000,55.4000
445,45,4,132,9,20.2000,20.2000,9.8000,37.2000
446,11,4,37,9,83.8000,83.8000,72.6000,91.0000
447,48,4,101,9,41.7000,41.7000,30.4000,53.9000
448,50,4,132,9,23.0000,23.0000,13.7000,36.0000
449,5,4,101,9,39.2000,39.2000,19.6000,63.0000
450,47,4,37,9,66.7000,66.7000,50.5000,79.8000
451,42,4,37,9,86.4000,86.4000,73.7000,93.5000
452,3,4,52,9,37.3000,37.3000,21.8000,55.8000
453,13,4,101,9,49.0000,49.0000,40.4000,57.7000
454,13,4,132,9,33.3000,33.3000,22.2000,46.7000
455,8,4,101,9,66.3000,66.3000,44.8000,82.7000
456,34,4,101,9,58.8000,58.8000,47.3000,69.3000
457,28,4,52,9,33.4000,33.4000,22.5000,46.4000
458,37,4,101,9,47.8000,47.8000,35.5000,60.4000
459,31,4,132,9,33.6000,33.6000,18.2000,53.5000
460,32,4,37,9,67.9000,67.9000,60.0000,74.9000
461,28,4,37,9,87.3000,87.3000,77.8000,93.1000
462,42,4,101,9,42.8000,42.8000,29.5000,57.3000
